MXene (mg/mL),Laminin peptide (ug/mL),Electric stimulation (Hz),Voltage (V),Cell viability (%),Cell viability Index
0.1,50,1.0,3.0,34.0,0.0
0.24,90,0.5,1.5,140.0,1.0
0.1,150,1.0,0.1,78.0,0.5
0.1,50,1.0,1.0,84.0,1.0
0.1,150,0.5,1.0,88.0,1.0
0.0,150,0.5,0.1,91.0,1.0
0.28,90,0.0,0.0,130.0,1.0
0.3,150,0.0,0.0,98.0,1.0
0.3,0,1.0,3.0,42.0,0.0
0.2,150,3.0,3.0,25.0,0.0
0.0,150,2.0,2.0,83.0,1.0
0.2,0,0.5,1.0,65.0,0.5
0.0,0,3.0,2.0,63.0,0.5
0.3,50,0.0,0.0,94.0,1.0
0.3,0,0.5,2.0,35.0,0.0
0.24,40,0.0,0.0,144.0,1.0
0.14,30,0.0,0.0,124.0,1.0
0.08,10,2.0,1.0,77.0,0.5
0.3,150,3.0,3.0,51.0,0.0
0.3,0,0.0,0.0,78.0,0.5
0.2,50,3.0,3.0,24.0,0.0
0.3,150,1.0,1.0,68.0,0.5
0.2,150,2.0,2.0,42.0,0.0
0.0,50,2.0,1.0,97.0,1.0
0.1,0,0.5,1.0,108.0,1.0
0.3,50,2.0,3.0,47.0,0.0
0.0009,40,1.0,1.0,49.10097,0.0
0.2,50,3.0,1.0,39.0,0.0
0.3,150,0.0,0.0,88.0,1.0
0.0,50,0.0,0.0,102.0,1.0
0.3,50,2.0,1.0,88.0,1.0
0.3,0,0.5,1.0,48.0,0.0
0.0,0,3.0,0.1,86.0,1.0
0.0,150,3.0,0.1,95.0,1.0
0.08,110,1.5,1.0,53.0,0.0
0.1,150,2.0,1.0,80.0,1.0
0.3,50,1.0,3.0,45.0,0.0
0.14,20,1.5,1.5,95.0,1.0
0.1,150,2.0,2.0,60.0,0.5
0.0,0,0.5,0.1,79.0,0.5
0.1,0,3.0,1.5,111.0,1.0
0.2,0,0.0,0.0,88.0,1.0
0.011,130,0.0,0.0,155.32503,1.0
0.1,50,1.0,0.1,90.0,1.0
0.06,50,1.5,1.5,61.0,0.5
0.0,150,2.0,0.1,91.0,1.0
0.046,70,2.0,2.0,49.10097,0.0
0.0,50,0.5,2.0,76.0,0.5
0.1,150,0.0,0.0,88.0,1.0
0.2,150,0.0,0.0,101.0,1.0
0.1,150,3.0,0.1,69.0,0.5
0.3,150,0.0,0.0,95.0,1.0
0.0,150,0.0,0.0,106.0,1.0
0.2,50,1.0,3.0,31.0,0.0
0.0,0,2.0,1.0,90.0,1.0
0.1,50,0.5,3.0,31.0,0.0
0.2,0,0.5,3.0,33.0,0.0
0.2,50,1.0,0.1,80.0,1.0
0.0,0,0.0,0.0,100.0,1.0
0.3,150,3.0,0.1,87.0,1.0
0.1,150,0.5,0.1,91.0,1.0
0.0,50,0.5,0.1,85.0,1.0
0.0,50,1.0,2.0,75.0,0.5
0.08,130,1.5,2.0,78.0,0.5
0.3,50,3.0,3.0,43.0,0.0
0.3,0,3.0,2.0,42.0,0.0
0.0,0,3.0,3.0,52.0,0.0
0.3,0,1.0,0.1,62.0,0.5
0.2,150,3.0,2.0,38.0,0.0
0.3,50,0.0,0.0,96.0,1.0
0.1,0,0.0,0.0,97.0,1.0
0.0,150,1.0,3.0,75.0,0.5
0.0,0,0.0,0.0,100.0,1.0
0.2287,40,0.0,0.0,155.11757,1.0
0.1,50,0.5,0.1,101.0,1.0
0.2,50,1.0,2.0,61.0,0.5
0.1,0,1.0,0.1,79.0,0.1
0.0,0,1.0,2.0,61.0,0.5
0.2,50,0.5,1.0,67.0,0.5
0.0,150,3.0,2.0,88.0,1.0
0.0,150,0.0,0.0,111.0,1.0
0.0,0,2.0,2.0,65.0,0.5
0.0,150,1.0,2.0,81.0,1.0
0.2,150,0.0,0.0,96.0,1.0
0.3,150,2.0,0.1,92.0,1.0
0.1,150,0.0,0.0,88.0,1.0
0.04,0,0.5,1.0,47.0,0.0
0.2,50,0.0,0.0,94.0,1.0
0.2,150,2.0,1.0,49.0,0.0
0.1,150,1.0,1.0,78.0,0.5
0.2,50,3.0,2.0,38.0,0.0
